,fullName,position,origin,destination
633,Chalil Cummings,CB,Memphis,Purdue
637,Dontavius Nash,CB,East Carolina,Michigan State
640,Jayvin James,OT,Maryland,Mississippi State
643,Ryne Shackelford,WR,Purdue,Baylor
644,Terez Davis,OT,Maryland,Ole Miss
648,Frank Mulipola,DL,Texas-Permian Basin,Arkansas
654,TJ Bush Jr.,EDGE,Liberty,California
657,Tyrell Green,IOL,Eastern Kentucky,Purdue
658,Amare Campbell,LB,North Carolina,Penn State
661,Alvin Puefua,DL,Hawai'i,BYU
665,Will Loerzel,TE,South Alabama,Wake Forest
671,Chase Meyer,K,Penn State,California
672,Beau Atkinson,EDGE,North Carolina,Ohio State
673,Cooper Lovelace,IOL,Northwestern,Colorado
676,Gavin Sawchuk,RB,Oklahoma,Florida State
680,Joseph Jefferson II,S,Western Michigan,Louisville
682,Christian Abney,TE,Ball State,Illinois
691,Rocco Milia,LB,Columbia,Michigan
695,Landen King,TE,Utah,Duke
708,Akim Lanieux,WR,Northern Illinois,Arizona State
710,Kade Hensley,K,Coastal Carolina,West Virginia
711,Gary Bryant III,LB,South Dakota,Syracuse
712,Jordan Scott,WR,Florida State,Maryland
717,D'Antre Robinson,DL,Florida,North Carolina
724,Max Drag,TE,App State,UCF
725,Breylon Charles,DL,North Texas,Purdue
727,John Volker,RB,Princeton,Michigan
732,Ryan Yaites,S,California,TCU
733,Shawqi Itraish,QB,Rice,Ole Miss
735,Tate Sandell,K,UTSA,Oklahoma
747,Gavin Blackwell,WR,North Carolina,Florida State
748,Ty Hudkins,S,Purdue,Iowa
757,Marques Easley,IOL,Georgia,Purdue
761,Rashad McKenzie,DL,Washington State,Arizona State
765,Brent Austin,CB,South Florida,California
766,Wydett Williams Jr.,S,UL Monroe,Ole Miss
768,Jake Garcia,QB,East Carolina,Michigan
781,Cooper Barkate,WR,Harvard,Duke
783,Christian Moore,TE,UNLV,Purdue
786,Clinton Azubuike,OT,Northern Arizona,Vanderbilt
787,Mike Peterson Jr.,WR,Arkansas State,Florida
788,LJ Johnson Jr.,RB,SMU,California
789,Sascha Garcia,CB,William & Mary,Wake Forest
790,DD Holmes,DL,Florida State,Maryland
792,Isaiah Chisom,LB,Oregon State,UCLA
798,Kavion Broussard,IOL,Ole Miss,Arkansas
799,Sam Lindsey,LS,Georgia State,Indiana
801,Colin Weber,TE,Charlotte,Rutgers
803,Jeremy Cook,S,Oklahoma State,Oklahoma State
812,Kade Eldridge,TE,USC,Washington
813,Damon Greaves,P,Kansas,Colorado
816,Deante McCray,EDGE,Western Kentucky,Florida State
