fullName,position,origin,destination
John Locke Jr.,TE,Louisiana Tech,Oklahoma
Ty Lockwood,TE,Alabama,Boston College
Eric Rivers,WR,Florida International,Georgia Tech
Joseph Manjack IV,WR,Houston,TCU
Tre Spivey,WR,Kansas State,Arizona
Mario Craver,WR,Mississippi State,Texas A&M
Caleb Medford,WR,New Mexico,Kansas State
Jason Robinson Jr.,WR,Washington,North Carolina
J. Michael Sturdivant,WR,UCLA,Florida
Malachi Fields,WR,Virginia,Notre Dame
Traylon Ray,WR,West Virginia,Ole Miss
Nate Boerkircher,TE,Nebraska,Texas A&M
Vince Brown II,TE,Colorado State,Missouri
Amari Niblack,TE,Texas,Texas A&M
Jayden Ballard,WR,Ohio State,Wisconsin
Jayden Thomas,WR,Notre Dame,Virginia
Cameron Barmore,WR,Mercyhurst College,Arizona
Dorian Fleming,TE,Georgia State,Maryland
Carsen Ryan,TE,Utah,BYU
Marcus Burke,WR,Florida,UCF
VJ Wilkins,WR,Campbell,Boston College
Tanner Koziol,TE,Wisconsin,Houston
Jaron Tibbs,WR,Purdue,Kansas State
Donaven McCulley,WR,Indiana,Michigan
Duane Thomas Jr.,WR,Charlotte,UCF
Kyron Hudson,WR,USC,Penn State
Chance Fitzgerald,WR,Virginia Tech,Vanderbilt
Anthony Evans III,WR,Georgia,Mississippi State
Joseph Williams,WR,Tulsa,Colorado
Riley Nowakowski,TE,Wisconsin,Indiana
Devonte Ross,WR,Hudson Valley,Penn State
Holden Staes,TE,Tennessee,Indiana
CJ Daniels,WR,LSU,Miami
Mikey Matthews,WR,California,UCLA
Nyziah Hunter,WR,California,Nebraska
Rodney Bullard Jr.,WR,Valdosta State,Michigan State
Emmanuel Henderson Jr.,WR,Alabama,Kansas
Squirrel White,WR,Tennessee,Florida State
Kamrean Johnson,TE,Vanderbilt,Wake Forest
Sam Phillips,WR,Chattanooga,Iowa
Jaron Glover,WR,Michigan State,Mississippi State
Kaedin Robinson,WR,App State,UCLA
Makai Jackson,WR,App State,Indiana
Brenen Thompson,WR,Oklahoma,Mississippi State
Josiah Martin,WR,California,Oklahoma
Chase Farrell,WR,Stanford,Northwestern
Bauer Sharp,TE,Oklahoma,LSU
Andrel Anthony,WR,Oklahoma,Duke
Ismael Cisse,WR,Stanford,Arkansas
Jaylen Lloyd,WR,Nebraska,Oklahoma State
Isaiah Sategna III,WR,Arkansas,Oklahoma
Caleb Goodie,WR,Colorado State,Cincinnati
Otto Tia,WR,Utah State,Utah
Malik Benson,WR,Florida State,Oregon
Adrian Wilson,WR,Colorado,North Carolina
Chris Barnes,WR,Washington State,Wake Forest
Trace Bruckler,TE,New Mexico,Ole Miss
CJ Williams,WR,Wisconsin,Stanford
Levi Wentz,WR,Albany,Kansas
Aziah Johnson,WR,Michigan State,North Carolina
Terrance McWilliams Jr.,WR,Minnesota,Louisville
Cody Hardy,TE,Elon,NC State
Duce Robinson,WR,USC,Florida State
Terrance Carter Jr.,TE,Louisiana,Texas Tech
Luke Hasz,TE,Arkansas,Ole Miss
Chauncey Magwood,WR,UCF,Purdue
Christian Fitzpatrick,WR,Marshall,Oklahoma State
Kevin Coleman Jr.,WR,Mississippi State,Missouri
Donavon Greene,WR,Wake Forest,Virginia Tech
Evan Boyd,WR,Central Michigan,Michigan State
Carlos Hernandez,WR,Washington State,Wake Forest
Micah Bell,WR,Vanderbilt,Georgia
Caden High,WR,South Carolina State,Stanford
Raylen Sharpe,WR,Fresno State,Arkansas
Alex Bauman,TE,Tulane,Miami
Markus Allen,WR,Eastern Michigan,Mississippi State
Sam Jackson V,WR,Auburn,Oklahoma State
Trent Hudson,WR,Mississippi State,Vanderbilt
Cataurus Hicks,WR,Louisville,Pittsburgh
Kris Hutson,WR,Washington State,Arizona
Keontez Lewis,WR,Southern Illinois,Oklahoma
Jacob De Jesus,WR,UNLV,California
Harrison Wallace III,WR,Penn State,Ole Miss
O'Mega Blake,WR,Charlotte,Arkansas
Oscar Hammond,TE,North Texas,Oklahoma State
Charles Ross,WR,USC,Purdue
DT Sheffield,WR,North Texas,Rutgers
Cam Ross,WR,James Madison,Virginia
De'Zhaun Stribling,WR,Oklahoma State,Ole Miss
Jahmal Edrine,WR,Purdue,Virginia
Sterling Berkhalter,WR,Cincinnati,Wake Forest
Omari Kelly,WR,Middle Tennessee,Michigan State
Anthony Simpson,WR,Massachusetts,Michigan
Xavier Loyd,WR,Illinois State,Missouri
Kai Rios,TE,Indiana State,Michigan State
