,season,firstName,lastName,position,origin,destination,transferDate,eligibility,rating,stars
148,2025,Derek,Ganter Jr.,S,Eastern Washington,Boise State,2025-04-21 20:11:00+00:00,Immediate,0.86,3.0
149,2025,Cyrus,Rogers,WR,North Carolina,,2024-12-30 16:09:00+00:00,Immediate,,
150,2025,Jarod,Bowie,WR,Jacksonville State,West Virginia,2024-12-23 20:28:00+00:00,Immediate,0.86,3.0
151,2025,Brennon,Scott,LB,UNLV,Sacramento State,2024-12-23 20:04:00+00:00,Immediate,0.82,3.0
152,2025,Christian,Anderson,OT,Alabama A&M,Southern Miss,2024-12-23 19:35:00+00:00,Immediate,0.84,3.0
153,2025,Joseph,Reddish,CB,Wingate,Virginia Tech,2024-12-23 19:26:00+00:00,Immediate,0.85,3.0
154,2025,Joey,VanWetzinga,DL,Iowa,Central Michigan,2025-04-27 19:43:00+00:00,Immediate,0.85,3.0
155,2025,Jaidyn,Doss,WR,Nebraska,Kansas,2025-07-09 14:07:00+00:00,Immediate,0.85,3.0
156,2025,AJ,Wallace,S,Arkansas State,Chattanooga,2025-04-24 22:58:00+00:00,Immediate,,3.0
157,2025,Jékob,Jones,LB,Cal Poly,Sacramento State,2025-05-01 05:34:00+00:00,Immediate,,3.0
158,2025,Julien,Randolph,TE,North Carolina,Austin Peay,2025-05-03 22:32:00+00:00,Immediate,,3.0
159,2025,Coleman,Kuntz,TE,Sacramento State,South Dakota State,2025-04-20 16:16:00+00:00,Immediate,,3.0
160,2025,Moshood,Giwa,OT,LIU Post,Rutgers,2025-04-27 04:25:00+00:00,Immediate,0.83,3.0
161,2025,Gannon,Burt,LS,Florida,North Carolina,2025-04-22 14:08:00+00:00,Immediate,,
162,2025,Nacari,Ashley,LB,Georgia Tech,,2025-04-25 19:16:00+00:00,Immediate,,3.0
163,2025,Jacob,Stewart,TE,San José State,Louisville,2025-04-22 02:04:00+00:00,Immediate,0.86,3.0
164,2025,Josiah,Wyatt,DL,App State,Charleston Southern,2025-04-24 19:24:00+00:00,Immediate,,3.0
165,2025,Alijah,Lacey,EDGE,Georgia Southern,,2025-04-24 19:58:00+00:00,Immediate,,3.0
166,2025,Quran,Boyd,RB,Duke,,2025-04-23 15:54:00+00:00,Immediate,,3.0
167,2025,Garrison,Butler,DL,App State,Furman,2025-06-13 14:39:00+00:00,Immediate,0.85,3.0
168,2025,Sean,DuBose Jr.,EDGE,Abilene Christian,Houston Christian,2025-05-28 17:00:00+00:00,Immediate,,3.0
169,2025,Davis,Heinzen,IOL,Central Michigan,Wisconsin,2025-04-23 20:23:00+00:00,Immediate,0.86,3.0
170,2025,Larry,Simmons,WR,Southern Miss,Utah,2025-04-23 20:21:00+00:00,Immediate,0.88,3.0
171,2025,Jocelyn,Malaska,CB,Oklahoma,Abilene Christian,2025-07-28 01:23:00+00:00,Immediate,,3.0
172,2025,Taven,Curry,RB,UL Monroe,Akron,2025-06-13 04:22:00+00:00,Immediate,,3.0
