target_name,position,destination,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Eni Falayi,TE,Wake Forest,31,10.654,0.3437,18,0.5806,15,0.4839,1.6864,-0.9151,22,231
CJ Daniels,WR,Miami,69,31.21,0.4523,40,0.5797,32,0.4638,2.0406,-0.9213,51,560
Terrance Carter Jr.,TE,Texas Tech,76,28.304,0.3724,44,0.5789,27,0.3553,2.144,-0.6037,56,627
Harrison Wallace III,WR,Ole Miss,104,64.954,0.6246,60,0.5769,48,0.4615,2.1656,-0.6964,64,944
Andrel Anthony,WR,Duke,40,19.537,0.4884,23,0.575,14,0.35,2.0432,-0.3488,27,248
Yamir Knight,WR,SMU,75,35.199,0.4693,43,0.5733,28,0.3733,2.3226,-0.6348,55,638
Mason Mini,TE,California,49,21.582,0.4404,28,0.5714,16,0.3265,2.3001,-0.4612,36,393
Jerand Bradley,WR,Kansas State,21,7.037,0.3351,12,0.5714,10,0.4762,2.1467,-1.3118,13,184
Omari Evans,WR,Washington,28,16.045,0.573,16,0.5714,9,0.3214,2.4486,-0.3154,18,260
KC Concepcion,WR,Texas A&M,107,40.086,0.3746,61,0.5701,38,0.3551,2.057,-0.5519,61,919
Zachariah Branch,WR,Georgia,97,60.109,0.6197,55,0.567,37,0.3814,2.2883,-0.4093,84,815
Jaden Platt,TE,Arkansas,32,14.424,0.4507,18,0.5625,13,0.4063,1.698,-0.4026,20,282
Deuce Alexander,WR,Ole Miss,73,22.191,0.304,41,0.5616,21,0.2877,2.2882,-0.4973,44,684
Colin Weber,TE,Rutgers,25,-5.316,-0.2126,14,0.56,3,0.12,1.193,-0.4043,17,102
Jahmal Edrine,WR,Virginia,75,18.135,0.2418,42,0.56,29,0.3867,1.8026,-0.7422,48,581
Emmett Mosley V,WR,Texas,52,21.47,0.4129,29,0.5577,20,0.3846,2.2053,-0.7074,28,408
Dylan Wade,TE,UCF,52,16.431,0.316,29,0.5577,17,0.3269,2.3152,-0.6551,39,469
Keelan Marion,WR,Miami,88,43.398,0.4932,49,0.5568,36,0.4091,2.1576,-0.6591,58,776
Tanner Koziol,TE,Houston,97,39.372,0.4059,54,0.5567,41,0.4227,1.93,-0.71,75,735
Will Pauling,WR,Notre Dame,45,23.182,0.5152,25,0.5556,22,0.4889,2.1009,-1.0017,27,384
Boden Groen,TE,Kansas,45,23.88,0.5307,25,0.5556,16,0.3556,2.3001,-0.4456,36,457
Omari Kelly,WR,Michigan State,78,43.051,0.5519,43,0.5513,28,0.359,2.4992,-0.5385,49,631
Kevin Coleman Jr.,WR,Missouri,89,37.365,0.4198,49,0.5506,31,0.3483,2.1607,-0.5106,67,736
Justin Holmes,TE,Pittsburgh,40,9.224,0.2306,22,0.55,13,0.325,1.9572,-0.6007,29,315
Justin Bowick,WR,Illinois,42,16.643,0.3963,23,0.5476,20,0.4762,1.8925,-0.9639,22,265
Raylen Sharpe,WR,Arkansas,64,20.549,0.3211,35,0.5469,23,0.3594,2.6533,-0.9872,44,637
Michael Jackson III,WR,Purdue,85,12.212,0.1437,46,0.5412,21,0.2471,2.1879,-0.5271,65,601
CJ Williams,WR,Stanford,98,47.298,0.4826,53,0.5408,42,0.4286,2.1764,-0.7877,60,758
