target_name,targets,EPA,EPA_per_target,success,success_rate,explosive,explosive_rate,explosive_epa_per_target,non_explosive_epa_per_target,catches,yards
Ryan Wingo,62,8.751,0.1411,31,0.5,20,0.3226,2.2447,-0.8606,29,472
Roderick Daniels Jr.,62,41.836,0.6748,36,0.5806,32,0.5161,2.3368,-1.0981,46,690
Jack Velling,62,-8.054,-0.1299,30,0.4839,18,0.2903,1.8931,-0.9575,37,434
Chris Brazzell II,61,7.415,0.1216,29,0.4754,15,0.2459,2.0399,-0.504,29,333
Rashod Owens,61,14.353,0.2353,31,0.5082,21,0.3443,2.128,-0.7584,32,519
Mitchell Evans,61,16.96,0.278,32,0.5246,20,0.3279,2.2643,-0.6909,43,418
Joshua Simon,61,18.164,0.2978,32,0.5246,21,0.3443,2.1472,-0.6732,45,589
CJ Daniels,61,28.158,0.4616,37,0.6066,24,0.3934,2.1205,-0.6144,44,500
Mikey Matthews,60,-9.162,-0.1527,26,0.4333,17,0.2833,1.7595,-0.9087,36,307
Key'Shawn Smith,60,18.156,0.3026,29,0.4833,21,0.35,2.387,-0.8197,36,550
Moliki Matavao,60,14.505,0.2418,34,0.5667,20,0.3333,1.9544,-0.6146,41,506
Cam Coleman,60,26.245,0.4374,35,0.5833,26,0.4333,2.1937,-0.9056,37,598
Justin Joly,60,38.602,0.6434,36,0.6,28,0.4667,2.476,-0.9602,44,704
Jaylin Lane,60,9.381,0.1563,27,0.45,18,0.3,2.3504,-0.784,39,494
Isaiah Bond,60,22.838,0.3806,33,0.55,24,0.4,2.1739,-0.8149,36,558
DeAndre Moore Jr.,60,14.483,0.2414,28,0.4667,17,0.2833,2.9228,-0.8187,40,480
Bauer Sharp,59,4.321,0.0732,26,0.4407,14,0.2373,2.0959,-0.556,44,372
Quentin Skinner,58,10.686,0.1842,25,0.431,22,0.3793,2.6039,-1.2944,25,557
Eric McAlister,58,59.768,1.0305,39,0.6724,29,0.5,2.4659,-0.4049,39,762
Jaydon Blue,58,14.613,0.2519,27,0.4655,19,0.3276,2.2601,-0.7264,41,365
Traeshon Holden,58,45.881,0.7911,36,0.6207,24,0.4138,2.4255,-0.3626,47,725
Samuel Brown,58,9.896,0.1706,24,0.4138,16,0.2759,2.5166,-0.7231,36,509
Vinny Anthony II,58,31.828,0.5488,34,0.5862,21,0.3621,2.664,-0.6518,41,683
Jaden Greathouse,57,40.329,0.7075,35,0.614,25,0.4386,2.3623,-0.5853,44,622
Quintrevion Wisner,57,-7.344,-0.1288,24,0.4211,13,0.2281,1.9443,-0.7414,44,311
Squirrel White,56,8.807,0.1573,26,0.4643,15,0.2679,2.3039,-0.6281,34,381
Brashard Smith,56,11.822,0.2111,29,0.5179,16,0.2857,2.1216,-0.5531,44,357
Monaray Baldwin,56,10.038,0.1793,26,0.4643,16,0.2857,2.493,-0.7462,29,483
Isaiah Sategna III,56,2.642,0.0472,31,0.5536,18,0.3214,2.1208,-0.9351,39,532
Jimmy Horn Jr.,56,4.001,0.0714,25,0.4464,16,0.2857,2.1181,-0.7472,38,480
Seydou Traore,56,10.23,0.1827,24,0.4286,14,0.25,2.0091,-0.4261,34,360
Brant Kuithe,56,18.253,0.3259,28,0.5,23,0.4107,2.3475,-1.083,36,508
John Copenhaver,55,6.753,0.1228,26,0.4727,16,0.2909,2.1382,-0.7041,40,416
Gavin Bartholomew,55,19.666,0.3576,29,0.5273,23,0.4182,1.6374,-0.5623,41,331
Traylon Ray,55,22.132,0.4024,30,0.5455,22,0.4,2.5197,-1.0092,30,463
Tyler Neville,55,-3.35,-0.0609,28,0.5091,20,0.3636,1.7903,-1.1187,38,397
Chamon Metayer,54,13.445,0.249,26,0.4815,15,0.2778,2.3165,-0.5462,33,310
Junior Sherrill,54,18.093,0.3351,27,0.5,23,0.4259,1.9352,-0.8522,29,394
Cam Skattebo,54,29.643,0.5489,32,0.5926,17,0.3148,2.5196,-0.3565,45,605
KJ Duff,54,26.35,0.488,32,0.5926,26,0.4815,1.8907,-0.8146,28,428
Que'Sean Brown,54,20.551,0.3806,30,0.5556,16,0.2963,2.1446,-0.3622,41,445
Jabre Barber,54,22.705,0.4205,29,0.537,25,0.463,1.9398,-0.8893,39,392
Woody Marks,54,3.709,0.0687,28,0.5185,14,0.2593,1.4819,-0.4259,47,321
Chris Hunter,53,9.644,0.182,30,0.566,18,0.3396,1.9797,-0.7426,35,323
Nicholas Singleton,53,20.486,0.3865,30,0.566,17,0.3208,1.6793,-0.2239,42,375
Jamoi Mayes,53,6.783,0.128,23,0.434,16,0.3019,1.9602,-0.6643,30,361
Ke'Shawn Williams,53,25.753,0.4859,34,0.6415,18,0.3396,2.0931,-0.3406,39,448
Michael Trigg,53,6.192,0.1168,26,0.4906,14,0.2642,2.4877,-0.7343,32,424
Bryson Nesbit,53,-4.688,-0.0885,24,0.4528,12,0.2264,2.0032,-0.7006,26,277
Noah Rogers,52,20.071,0.386,31,0.5962,18,0.3462,2.0244,-0.4814,34,474
Myles Price,52,33.397,0.6422,35,0.6731,24,0.4615,2.1065,-0.6129,40,477
Omar Cooper Jr.,52,33.702,0.6481,32,0.6154,26,0.5,2.0724,-0.7762,30,604
Barion Brown,52,9.873,0.1899,22,0.4231,17,0.3269,2.4182,-0.8925,30,373
Keleki Latu,51,12.015,0.2356,32,0.6275,18,0.3529,1.8149,-0.6259,42,377
Sam Roush,51,7.082,0.1389,27,0.5294,15,0.2941,1.9234,-0.6047,40,334
Jonathan Brady,51,17.416,0.3415,30,0.5882,15,0.2941,1.9196,-0.3161,36,386
Stephen Gosnell,51,29.908,0.5864,33,0.6471,22,0.4314,2.0688,-0.5381,29,508
Thomas Fidone II,51,10.388,0.2037,26,0.5098,17,0.3333,1.8789,-0.6339,38,387
Jahmal Edrine,51,6.461,0.1267,24,0.4706,17,0.3333,2.3291,-0.9745,25,390
Jeremiah Hunter,51,22.44,0.44,33,0.6471,18,0.3529,1.9577,-0.3878,37,506
Quincy Skinner Jr.,51,13.0,0.2549,28,0.549,16,0.3137,2.1762,-0.6234,31,455
Trond Grizzell,50,9.351,0.187,24,0.48,15,0.3,2.4306,-0.7745,27,401
Randy Pittman Jr.,50,4.921,0.0984,28,0.56,16,0.32,1.7079,-0.659,33,434
Elijah Arroyo,50,31.854,0.6371,32,0.64,26,0.52,2.2131,-1.0702,38,616
Trech Kekahuna,50,-7.127,-0.1425,22,0.44,16,0.32,2.06,-1.179,28,373
Rivaldo Fairweather,50,-4.563,-0.0913,20,0.4,14,0.28,2.2706,-1.0098,31,372
Darrell Gill Jr.,50,32.987,0.6597,29,0.58,23,0.46,2.3267,-0.7603,31,553
Malik Benson,50,11.965,0.2393,21,0.42,14,0.28,2.6619,-0.7028,26,342
Tyrone Broden,50,-12.944,-0.2589,16,0.32,10,0.2,2.2858,-0.8951,17,258
Mekhi Mews,49,-12.053,-0.246,20,0.4082,11,0.2245,2.117,-0.93,31,267
Malcolm Simmons,49,26.002,0.5307,27,0.551,16,0.3265,2.1928,-0.2752,40,451
Octavian Smith Jr.,49,6.526,0.1332,28,0.5714,17,0.3469,2.1009,-0.9122,30,315
Duce Robinson,49,9.908,0.2022,23,0.4694,19,0.3878,2.3689,-1.1701,24,438
Roman Hemby,49,-2.001,-0.0408,22,0.449,10,0.2041,1.7497,-0.4999,42,287
Ja'Khi Douglas,48,51.325,1.0693,29,0.6042,25,0.5208,2.7875,-0.7984,32,519
Kwazi Gilmer,48,8.463,0.1763,21,0.4375,13,0.2708,2.1073,-0.5409,31,345
Nyck Harbor,47,29.285,0.6231,26,0.5532,23,0.4894,2.0177,-0.7135,27,407
Jacob Gill,47,17.264,0.3673,27,0.5745,21,0.4468,2.0495,-0.9913,35,411
Stephon Johnson,47,9.077,0.1931,24,0.5106,16,0.3404,2.2424,-0.8646,32,402
Lawrence Arnold,46,12.653,0.2751,25,0.5435,13,0.2826,2.2718,-0.5115,26,360
Benji Gosnell,46,6.811,0.1481,26,0.5652,18,0.3913,1.6562,-0.8215,35,371
J. Michael Sturdivant,46,10.085,0.2192,21,0.4565,17,0.3696,1.9965,-0.8226,24,340
Dylan Wade,45,12.311,0.2736,22,0.4889,15,0.3333,1.9204,-0.5498,30,379
Reed Harris,45,15.135,0.3363,20,0.4444,17,0.3778,2.9977,-1.2795,17,486
Kelly Akharaiyi,45,23.291,0.5176,26,0.5778,20,0.4444,2.1222,-0.7662,26,394
Jordan Faison,45,21.37,0.4749,26,0.5778,18,0.4,2.0119,-0.5498,32,387
TJ Harden,45,9.378,0.2084,24,0.5333,13,0.2889,2.4088,-0.6855,40,368
Micah Bernard,45,-19.476,-0.4328,14,0.3111,10,0.2222,1.7268,-1.0498,31,153
Omarion Hampton,44,10.621,0.2414,23,0.5227,12,0.2727,2.7186,-0.6876,39,360
Jaron Tibbs,44,3.797,0.0863,19,0.4318,11,0.25,2.4074,-0.6874,27,370
Deion Burks,44,-5.407,-0.1229,18,0.4091,11,0.25,1.9891,-0.8269,32,241
Keagan Johnson,43,5.916,0.1376,22,0.5116,16,0.3721,1.8883,-0.8999,28,353
Kobe Paysour,43,8.034,0.1868,19,0.4419,15,0.3488,2.0727,-0.8234,23,387
Jeremiah Patterson,43,-5.881,-0.1368,17,0.3953,10,0.2326,1.9303,-0.7632,27,199
Jalin Conyers,43,16.846,0.3918,20,0.4651,16,0.3721,2.3229,-0.7526,30,320
Jahdae Walker,43,22.565,0.5248,28,0.6512,16,0.3721,2.3108,-0.5336,30,366
